Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein,Carbohydrates,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
55,Female,160,70,Sedentary,Weight Loss,Vegetarian,1500,80,150,40,"Oatmeal, fruit, nuts","Vegetarian chili, brown rice","Tofu stir-fry, vegetables","Carrot sticks, hummus"
40,Male,190,95,Moderately Active,Maintenance,Vegan,2200,120,250,60,"Tofu scramble, vegetables, whole wheat toast","Lentil, vegetable curry, brown rice","Chickpea, vegetable pasta bake","Trail mix, dried fruit, nuts"
68,Female,155,62,Sedentary,Weight Loss,Vegan,1400,70,130,35,"Vegan overnight oats, berries","Lentil, vegetable soup, whole wheat bread","Tofu, vegetable stir-fry","Banana, almond butter"
28,Male,175,78,Very Active,Muscle Gain,Omnivore,3000,180,350,80,"Protein pancakes, fruit, syrup","Chicken breast, brown rice, vegetables","Beef stir-fry, brown rice",Protein bar
35,Female,170,65,Lightly Active,Maintenance,Vegetarian,1900,90,200,55,"Scrambled eggs, spinach, whole wheat toast","Vegetarian chili, brown rice","Lentil, vegetable stew","Fruit salad, yogurt"
52,Male,185,100,Very Active,Muscle Gain,Vegan,2800,160,300,80,"Tofu scramble, vegetables, whole wheat toast","Lentil, vegetable curry, brown rice","Vegan chili, brown rice","Trail mix, dried fruit, nuts"
22,Female,168,55,Moderately Active,Weight Loss,Vegan,1600,80,180,40,"Vegan overnight oats, chia seeds, berries","Lentil, vegetable soup, whole wheat bread","Tofu, vegetable stir-fry","Apple slices, peanut butter"
47,Male,178,80,Sedentary,Maintenance,Omnivore,2100,110,230,60,"Greek yogurt, fruit, granola","Chicken salad sandwich, whole wheat bread","Salmon, roasted vegetables","Mixed nuts, seeds"
28,Female,165,60,Lightly Active,Weight Loss,Omnivore,1800,100,200,60,"Greek yogurt, berries, granola","Lentil soup, whole-wheat bread","Grilled chicken, roasted vegetables","Apple, peanut butter"
35,Male,180,80,Moderately Active,Maintenance,Vegetarian,2500,100,300,80,"Tofu scramble, whole-wheat toast","Black bean burger, a whole-wheat bun","Lentil, vegetable curry, rice",Trail mix
55,Female,160,75,Sedentary,Weight Loss,Vegan,1500,75,150,40,"Overnight oats, fruit, nuts","Tofu stir-fry, brown rice","Lentil pasta, tomato sauce","Banana, almond butter"
62,Male,175,90,Moderately Active,Weight Loss,Omnivore,2200,120,250,70,"Scrambled eggs, whole-wheat toast, avocado","Salmon, roasted vegetables","Chicken stir-fry, brown rice","Fruit, yogurt"
22,Female,170,55,Very Active,Muscle Gain,Omnivore,2400,150,300,80,"Protein smoothie, fruit, spinach","Chicken breast, brown rice, vegetables","Tuna salad sandwich, whole-wheat bread","Greek yogurt, berries, granola"
40,Male,185,100,Lightly Active,Muscle Gain,Vegetarian,2800,120,350,90,"Tofu scramble, vegetables","Lentil, vegetable curry, brown rice","Chickpea, vegetable stew","String cheese, crackers"
68,Female,155,65,Sedentary,Maintenance,Omnivore,1800,80,200,60,"Oatmeal, fruit, nuts","Tuna salad sandwich, whole-wheat bread","Chicken breast, roasted vegetables",Popcorn
70,Male,170,85,Sedentary,Weight Loss,Vegan,1700,80,180,50,"Tofu scramble, vegetables","Lentil, vegetable curry, rice","Black bean burgers, avocado",Fruit salad
33,Female,168,70,Very Active,Maintenance,Omnivore,2200,100,250,70,"Yogurt parfait, granola, fruit","Chicken salad sandwich, whole-wheat bread","Salmon, roasted vegetables","Apple, peanut butter"
25,Male,190,95,Moderately Active,Muscle Gain,Vegan,2500,120,300,80,"Tofu scramble, vegetables","Lentil, vegetable curry, brown rice","Chickpea, vegetable stew",Trail mix
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,200,60,"Greek yogurt, berries, granola","Tuna salad sandwich, whole-wheat bread, a side salad","Grilled chicken breast, quinoa, steamed vegetables","Apple slices, almond butter"
55,Female,165,70,Sedentary,Maintenance,Vegetarian,1800,80,250,50,"Tofu scramble, vegetables, whole-wheat toast","Lentil soup, a side of whole-wheat bread","Black bean burgers, roasted sweet potatoes, a green salad","Trail mix, nuts, dried fruit"
32,Male,190,95,Very Active,Muscle Gain,Omnivore,3000,160,350,80,"Oatmeal, protein powder, fruit","Chicken breast, brown rice, broccoli","Salmon, roasted vegetables, quinoa","Protein shake, milk, banana"
68,Female,170,65,Lightly Active,Weight Loss,Vegan,1500,70,180,40,"Tofu scramble, vegetables, whole-wheat toast","Lentil stew, a side of whole-wheat bread","Vegan chili, brown rice","Fruit smoothie, almond milk"
42,Male,185,100,Very Active,Weight Loss,Omnivore,2500,140,220,70,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, brown rice, broccoli","Salmon, roasted vegetables, quinoa","Trail mix, nuts, dried fruit"
58,Female,160,55,Sedentary,Maintenance,Vegan,1600,60,200,40,"Tofu scramble, vegetables, whole-wheat toast","Lentil soup, a side of whole-wheat bread","Vegan pasta, marinara sauce, a side salad","Fruit, nut mix"
35,Male,178,85,Lightly Active,Weight Loss,Vegetarian,2000,100,180,50,"Greek yogurt, fruit, granola","Vegetarian chili, a side of whole-wheat bread","Lentil soup, a side of whole-wheat bread","Vegetable sticks, hummus"
72,Male,175,75,Sedentary,Maintenance,Vegan,1700,70,210,40,"Tofu scramble, vegetables, whole-wheat toast","Lentil soup, a side of whole-wheat bread","Vegan pasta, marinara sauce, a side salad","Fruit, nut mix"
48,Female,168,68,Moderately Active,Maintenance,Omnivore,1900,80,230,50,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, brown rice, broccoli","Salmon, roasted vegetables, quinoa","Trail mix, nuts, dried fruit"
25,Male,180,85,Moderately Active,Weight Loss,Omnivore,2200,150,250,70,"1 cup oatmeal, berries, nuts","Grilled chicken breast salad, mixed greens, avocado","Salmon, roasted vegetables","Greek yogurt, granola"
32,Female,165,60,Sedentary,Weight Loss,Vegetarian,1800,80,200,60,"Tofu scramble, veggies","Lentil soup, whole-wheat bread","Vegetable stir-fry, brown rice","Fruit salad, nuts"
55,Female,160,75,Lightly Active,Weight Maintenance,Vegan,1900,85,220,65,"Tofu, vegetable breakfast burrito","Black bean burger, sweet potato fries","Lentil, vegetable curry","Trail mix, dried fruit, nuts"
40,Male,185,95,Very Active,Muscle Gain,Omnivore,3000,200,350,100,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, brown rice, steamed vegetables","Steak, sweet potato fries","Protein shake, almond butter"
28,Female,170,70,Moderately Active,Muscle Gain,Vegetarian,2400,140,280,80,"Greek yogurt, fruit, granola","Quinoa salad, chickpeas, vegetables","Tofu stir-fry, brown rice","Peanut butter, banana sandwich"
62,Male,175,80,Lightly Active,Weight Maintenance,Omnivore,2100,110,240,70,"Oatmeal, fruit, nuts","Turkey sandwich, whole-wheat bread, vegetables","Chicken breast, roasted vegetables","Popcorn, a sprinkle of cinnamon"
35,Female,168,65,Moderately Active,Weight Loss,Vegan,1900,90,220,65,"Tofu scramble, whole-wheat toast, vegetables","Black bean burger, a side salad","Chickpea, vegetable stew","Fruit, nut smoothie"
22,Male,190,90,Very Active,Muscle Gain,Omnivore,3200,220,380,110,"3 eggs, whole-wheat toast, avocado","Chicken breast, brown rice, vegetables","Salmon, roasted sweet potatoes","Protein shake, fruit, spinach"
48,Female,172,78,Sedentary,Weight Maintenance,Vegetarian,2000,95,230,70,"Yogurt, berries, granola","Lentil soup, whole-wheat bread",Vegetable frittata,"Apple slices, peanut butter"
21,Male,183,82,Moderately Active,Muscle Gain,Vegan,2800,170,320,90,"Tofu scramble, vegetables, whole-wheat toast","Lentil, vegetable curry","Vegan chili, brown rice","Protein smoothie, almond milk, banana"
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Salmon, roasted vegetables","Fruit, yogurt"
32,Female,165,65,Lightly Active,Maintenance,Vegetarian,1800,80,220,50,"Tofu scramble, whole-wheat toast","Lentil soup, whole-wheat bread","Vegetable stir-fry, brown rice",Trail mix
58,Male,175,95,Sedentary,Weight Loss,Omnivore,1800,100,200,50,"Greek yogurt, fruit, granola","Tuna salad sandwich, whole-wheat bread","Chicken stir-fry, brown rice","Apple slices, peanut butter"
28,Female,170,70,Very Active,Muscle Gain,Vegan,2500,150,300,70,"Tofu scramble, avocado, whole-wheat toast","Lentil, vegetable curry, brown rice","Chickpea pasta, tomato sauce, spinach","Nuts, seeds"
62,Female,160,75,Sedentary,Weight Loss,Vegan,1600,70,180,40,"Oatmeal, plant-based milk, fruit","Lentil soup, whole-wheat bread","Vegetable curry, brown rice","Fruit, nuts"
45,Male,185,105,Moderately Active,Weight Loss,Omnivore,2000,110,220,60,"Eggs, whole-wheat toast","Chicken breast, quinoa, roasted vegetables","Fish, steamed broccoli","Mixed nuts, dried fruit"
21,Female,168,55,Lightly Active,Muscle Gain,Vegetarian,2000,100,250,60,"Tofu scramble, avocado, whole-wheat toast","Lentil soup, whole-wheat bread","Vegetable stir-fry, brown rice",Trail mix
68,Male,170,85,Sedentary,Maintenance,Omnivore,1800,80,200,50,"Greek yogurt, fruit, granola","Tuna salad sandwich, whole-wheat bread","Chicken stir-fry, brown rice","Apple slices, peanut butter"
35,Female,172,68,Very Active,Muscle Gain,Vegan,2400,140,280,70,"Tofu scramble, avocado, whole-wheat toast","Lentil, vegetable curry, brown rice","Chickpea pasta, tomato sauce, spinach","Nuts, seeds"
55,Female,158,60,Sedentary,Weight Loss,Vegan,1500,60,160,40,"Oatmeal, plant-based milk, fruit","Lentil soup, whole-wheat bread","Vegetable curry, brown rice","Fruit, nuts"
25,Female,165,55,Lightly Active,Weight Loss,Omnivore,1800,70,180,50,"Greek yogurt, berries, granola","Quinoa salad, grilled chicken, vegetables","Salmon, roasted vegetables, brown rice","Apple slices, almond butter"
58,Male,180,90,Moderately Active,Maintenance,Vegetarian,2500,90,250,70,"Oatmeal, fruit, nuts","Lentil soup, whole-grain bread","Vegetable stir-fry, brown rice","Trail mix, dried fruit, nuts"
32,Female,170,65,Sedentary,Weight Loss,Vegan,1500,60,150,40,"Tofu scramble, vegetables","Black bean burger, a whole-wheat bun","Lentil pasta, tomato sauce, vegetables","Fruit, vegetable smoothie"
62,Male,175,85,Very Active,Maintenance,Omnivore,3000,120,300,80,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, brown rice, steamed vegetables","Steak, sweet potato fries, a side salad",Protein bar
28,Female,160,50,Lightly Active,Muscle Gain,Vegan,2000,80,200,60,"Tofu, vegetable stir-fry, brown rice","Lentil stew, whole-grain bread","Chickpea pasta, marinara sauce, vegetables","Whole-grain crackers, hummus"
45,Male,185,100,Moderately Active,Weight Loss,Omnivore,2200,100,220,60,"Oatmeal, protein powder, fruit","Chicken breast, quinoa, steamed vegetables","Salmon, roasted vegetables, sweet potato","Greek yogurt, fruit, nuts"
68,Female,162,60,Sedentary,Maintenance,Vegan,1800,70,180,50,"Tofu scramble, vegetables","Lentil soup, whole-grain bread","Vegetable curry, brown rice","Trail mix, dried fruit, nuts"
35,Male,190,80,Very Active,Muscle Gain,Omnivore,3200,140,320,90,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, brown rice, steamed vegetables","Steak, sweet potato fries, a side salad",Protein shake
21,Female,172,58,Lightly Active,Weight Loss,Vegetarian,1700,65,170,45,"Yogurt parfait, granola, fruit","Black bean burger, a whole-wheat bun","Lentil pasta, tomato sauce, vegetables","Apple slices, almond butter"
55,Male,178,82,Moderately Active,Maintenance,Vegan,2400,90,240,70,"Tofu, vegetable stir-fry, brown rice","Lentil stew, whole-grain bread","Chickpea pasta, marinara sauce, vegetables","Whole-grain crackers, hummus"
25,Male,180,85,Moderately Active,Weight Loss,Omnivore,2000,120,250,60,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Salmon, roasted vegetables","Greek yogurt, fruit"
32,Female,165,60,Lightly Active,Maintenance,Vegetarian,1800,80,220,50,"Tofu scramble, vegetables","Lentil soup, whole grain bread","Vegetable stir-fry, brown rice","Hummus, carrots, cucumber"
55,Male,175,90,Sedentary,Weight Loss,Omnivore,1800,100,200,50,"Yogurt, granola, fruit","Tuna salad sandwich, whole wheat bread","Chicken breast, steamed vegetables",Trail mix
68,Female,160,70,Sedentary,Maintenance,Vegan,1600,70,180,40,"Tofu, vegetable breakfast burrito","Black bean soup, whole grain bread","Lentil stew, brown rice","Fruit salad, nuts, seeds"
28,Male,190,100,Very Active,Muscle Gain,Omnivore,3000,180,350,80,"Scrambled eggs, whole wheat toast","Chicken breast, brown rice, vegetables","Beef stir-fry, brown rice",Protein shake
42,Female,170,75,Moderately Active,Weight Loss,Vegan,1500,80,180,40,"Overnight oats, chia seeds, fruit","Black bean burger, a whole grain bun","Lentil pasta, tomato sauce",Trail mix
38,Male,185,95,Lightly Active,Muscle Gain,Omnivore,2800,160,300,70,"Protein pancakes, fruit","Chicken, vegetable fajitas","Steak, sweet potato, green beans",Protein bar
52,Female,165,65,Sedentary,Weight Loss,Vegetarian,1400,70,150,30,"Yogurt, berries, granola","Lentil salad, mixed greens","Vegetarian chili, brown rice","Apple slices, peanut butter"
22,Female,170,55,Very Active,Muscle Gain,Vegan,2500,120,280,60,"Tofu scramble, vegetables","Black bean burger, a whole grain bun","Lentil pasta, vegetables",Trail mix
48,Male,175,80,Moderately Active,Maintenance,Omnivore,2200,100,250,60,"Oatmeal, fruit, nuts","Tuna salad sandwich, whole wheat bread","Chicken breast, roasted vegetables","Greek yogurt, fruit"
25,Male,180,85,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,"Oatmeal, berries, nuts","Chicken breast salad, mixed greens, vegetables","Salmon, roasted vegetables, quinoa","Apple slices, almond butter"
38,Female,165,68,Sedentary,Maintenance,Vegetarian,1800,80,200,50,"Tofu scramble, whole-wheat toast, avocado","Lentil soup, whole-wheat bread","Lentil, vegetable curry, brown rice","Fruit salad, yogurt"
55,Male,175,90,Lightly Active,Weight Loss,Omnivore,2000,100,220,55,"Greek yogurt, fruit, granola","Chicken stir-fry, brown rice","Turkey meatballs, whole-wheat pasta","Trail mix, nuts, seeds"
62,Female,160,75,Sedentary,Weight Loss,Vegan,1600,70,180,45,"Tofu, vegetable breakfast burrito","Black bean salad, mixed greens","Lentil, vegetable stew, whole-wheat bread","Fruit smoothie, plant-based milk"
28,Male,190,100,Very Active,Muscle Gain,Omnivore,3000,180,350,80,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, sweet potato, broccoli","Steak, roasted vegetables, brown rice",Protein bar
32,Female,170,65,Moderately Active,Muscle Gain,Vegetarian,2000,100,220,55,"Quinoa porridge, berries, nuts","Chickpea salad, whole-wheat bread","Lentil, vegetable curry, brown rice","Trail mix, nuts, seeds"
68,Male,170,80,Lightly Active,Maintenance,Omnivore,1800,80,200,50,"Oatmeal, fruit, nuts","Tuna salad sandwich, whole-wheat bread","Chicken breast, steamed vegetables, brown rice","Trail mix, nuts, seeds"
21,Female,165,55,Very Active,Muscle Gain,Vegan,2200,100,250,60,"Tofu scramble, whole-wheat toast, avocado","Chickpea salad, mixed greens","Lentil, vegetable curry, brown rice","Fruit smoothie, plant-based milk"
45,Male,185,95,Moderately Active,Weight Loss,Omnivore,2000,100,220,55,"Greek yogurt, fruit, granola","Chicken stir-fry, brown rice","Salmon, roasted vegetables, quinoa","Trail mix, nuts, seeds"
70,Female,155,60,Sedentary,Maintenance,Vegan,1400,60,160,40,"Tofu, vegetable breakfast burrito","Black bean salad, mixed greens","Lentil, vegetable stew, whole-wheat bread","Fruit smoothie, plant-based milk"
25,Female,165,58,Moderately Active,Weight Loss,Omnivore,1800,80,200,60,"Overnight oats, berries, nuts","Lentil soup, whole wheat bread","Grilled salmon, quinoa, roasted vegetables","Fruit, yogurt"
32,Male,180,90,Lightly Active,Muscle Gain,Vegetarian,2500,120,300,80,"Tofu scramble, whole wheat toast","Vegetarian chili, brown rice","Chickpea, vegetable curry, brown rice","Trail mix, nuts, seeds"
55,Female,160,65,Sedentary,Weight Loss,Vegan,1500,60,150,40,"Tofu, vegetable stir-fry, brown rice","Vegan lentil soup, whole wheat bread","Vegan black bean burgers, whole wheat buns","Fruit, nut mix"
48,Male,185,105,Very Active,Muscle Gain,Omnivore,3200,160,400,100,"Greek yogurt, fruit, granola","Chicken breast salad, mixed greens","Grilled chicken, sweet potato, broccoli","Protein shake, fruit"
38,Male,175,75,Moderately Active,Weight Loss,Vegetarian,2000,90,220,70,"Scrambled eggs, whole wheat toast","Vegetarian burrito bowl, brown rice","Lentil stew, whole wheat bread","Apple slices, peanut butter"
21,Female,170,60,Lightly Active,Muscle Gain,Omnivore,2200,100,250,80,"Oatmeal, protein powder, fruit","Chicken breast salad, mixed greens","Chicken stir-fry, brown rice",Protein bar
58,Male,178,80,Sedentary,Maintenance,Omnivore,2000,80,200,60,"Yogurt, granola, fruit","Tuna salad sandwich, whole wheat bread","Baked chicken, roasted vegetables","Fruit, cheese"
70,Female,162,68,Sedentary,Weight Loss,Vegan,1400,50,140,40,"Vegan breakfast burrito, tofu, vegetables","Vegan chili, brown rice","Lentil stew, whole wheat bread","Fruit, nut mix"
42,Male,190,100,Very Active,Muscle Gain,Vegetarian,3000,150,350,90,"Tofu scramble, avocado, whole wheat toast","Vegetarian pasta, marinara sauce","Chickpea, vegetable curry, brown rice","Protein shake, fruit"
25,Male,180,85,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,"Greek yogurt, berries, granola","Grilled chicken salad, mixed greens","Lentil soup, whole-wheat bread","Apple, peanut butter"
62,Female,165,70,Lightly Active,Maintenance,Vegan,1800,70,200,50,"Tofu scramble, vegetables","Lentil, vegetable curry, brown rice","Black bean burgers, sweet potato fries",Almonds
38,Male,190,95,Very Active,Muscle Gain,Omnivore,3000,180,350,80,"Oatmeal, protein powder, fruit","Chicken breast, quinoa, vegetables","Salmon, roasted vegetables",Protein shake
45,Female,170,65,Sedentary,Weight Loss,Vegetarian,1600,80,180,40,"Scrambled eggs, whole-wheat toast","Lentil soup, whole-wheat bread","Vegetarian chili, brown rice","Yogurt, fruit, granola"
22,Female,160,55,Moderately Active,Weight Loss,Vegan,1800,70,200,50,"Tofu scramble, vegetables","Lentil, vegetable curry, brown rice","Black bean burgers, sweet potato fries",Almonds
58,Male,175,80,Moderately Active,Maintenance,Omnivore,2000,100,220,60,"Greek yogurt, fruit, granola","Turkey sandwich, whole-wheat bread","Salmon, roasted vegetables",Trail mix
30,Male,185,90,Very Active,Muscle Gain,Omnivore,2800,160,300,70,"Oatmeal, protein powder, fruit","Chicken stir-fry, brown rice","Steak, sweet potatoes, broccoli",Protein shake
28,Female,170,60,Sedentary,Weight Loss,Vegetarian,1500,70,160,40,"Scrambled eggs, whole-wheat toast","Vegetarian chili, brown rice","Chickpea, vegetable curry, brown rice","Yogurt, fruit, granola"
68,Female,155,60,Lightly Active,Maintenance,Vegan,1700,60,180,40,"Tofu scramble, vegetables","Lentil, vegetable curry, brown rice","Black bean burgers, sweet potato fries",Almonds
42,Male,180,80,Very Active,Muscle Gain,Omnivore,2600,150,280,70,"Greek yogurt, fruit, granola","Chicken, vegetable stir-fry, brown rice","Tuna salad, whole-wheat bread",Protein shake
25,Male,180,85,Moderately Active,Weight Loss,Omnivore,2000,125,250,60,"Greek yogurt, berries, granola","Chicken stir fry, brown rice, vegetables","Salmon, roasted vegetables, quinoa","Apple slices, almond butter"
32,Female,165,60,Lightly Active,Maintenance,Vegetarian,1800,90,225,50,"Tofu scramble, whole-wheat toast, avocado","Lentil soup, whole-wheat bread, salad","Vegetable curry, brown rice","Trail mix, nuts, dried fruit"
58,Male,175,95,Sedentary,Weight Loss,Omnivore,1800,115,225,55,"Oatmeal, fruit, nuts","Tuna salad sandwich, whole-wheat bread, salad","Chicken breast, steamed vegetables, brown rice","Greek yogurt, fruit"
28,Female,170,70,Very Active,Muscle Gain,Vegan,2500,150,300,80,"Tofu scramble, whole-wheat toast, avocado","Lentil soup, whole-wheat bread, salad","Chickpea, vegetable curry, brown rice","Trail mix, nuts, seeds"
62,Female,160,75,Sedentary,Weight Loss,Vegan,1600,80,200,40,"Overnight oats, fruit, chia seeds","Black bean burger, whole-wheat bun, salad","Lentil stew, whole-grain bread","Apple slices, almond butter"
40,Male,185,90,Moderately Active,Muscle Gain,Omnivore,2800,175,350,90,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, brown rice, vegetables","Steak, roasted vegetables, sweet potato","Protein shake, fruit"
35,Female,168,55,Lightly Active,Maintenance,Omnivore,1900,100,230,60,"Yogurt, fruit, granola","Turkey sandwich, whole-wheat bread, salad","Salmon, roasted vegetables, quinoa","Apple slices, almond butter"
22,Male,190,100,Very Active,Weight Loss,Vegetarian,2200,130,275,70,"Oatmeal, fruit, nuts","Bean burrito, brown rice, salsa","Chickpea pasta, vegetable sauce","Trail mix, nuts, seeds"
65,Male,170,80,Sedentary,Maintenance,Omnivore,1700,95,210,50,"Breakfast burrito, eggs, vegetables","Turkey sandwich, whole-wheat bread, salad","Chicken stir fry, brown rice, vegetables","Greek yogurt, fruit"
48,Female,163,65,Lightly Active,Weight Loss,Vegan,1500,75,185,40,"Overnight oats, fruit, chia seeds","Vegetable stir fry, brown rice","Black bean soup, whole-grain bread","Trail mix, nuts, dried fruit"
25,Male,185,85,Moderately Active,Weight Loss,Omnivore,2200,150,250,60,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Salmon, roasted vegetables","Greek yogurt, fruit"
38,Female,165,65,Lightly Active,Muscle Gain,Vegetarian,2000,120,200,50,"Tofu scramble, vegetables","Lentil soup, whole-grain bread","Chickpea, vegetable curry",Almonds
62,Female,160,70,Sedentary,Maintenance,Vegan,1800,80,220,50,"Tofu, vegetable stir-fry","Vegan chili, brown rice","Black bean burgers, sweet potato fries","Fruit, vegetable salad"
45,Male,190,95,Very Active,Muscle Gain,Omnivore,3000,200,350,80,"Scrambled eggs, whole-wheat toast","Chicken breast, brown rice, broccoli","Beef stir-fry, brown rice",Protein shake
28,Female,170,58,Moderately Active,Weight Loss,Omnivore,1800,100,200,50,"Yogurt, granola, fruit","Tuna salad sandwich, whole-grain bread","Chicken stir-fry, brown rice","Apple, almond butter"
55,Male,175,80,Sedentary,Weight Loss,Omnivore,1800,110,220,50,"Oatmeal, fruit, nuts","Turkey breast sandwich, whole-grain bread","Lentil soup, whole-grain bread",Trail mix
22,Female,168,62,Lightly Active,Muscle Gain,Vegan,2000,100,250,50,"Tofu scramble, vegetables","Chickpea pasta, marinara sauce",Vegan lentil stew,"Fruit, vegetable salad"
30,Male,180,78,Moderately Active,Muscle Gain,Omnivore,2500,180,300,70,"Greek yogurt, fruit, granola","Chicken breast, sweet potato, broccoli","Steak, roasted vegetables",Protein bar
68,Male,170,75,Sedentary,Maintenance,Omnivore,1600,80,180,40,"Eggs, whole-wheat toast","Chicken salad sandwich, whole-grain bread","Salmon, vegetables","Fruit, nuts"
35,Female,175,72,Very Active,Weight Loss,Vegetarian,2000,120,240,60,"Tofu scramble, vegetables","Chickpea pasta salad, vegetables","Black bean burgers, sweet potato fries","Fruit, vegetable salad"
25,Female,165,55,Lightly Active,Weight Loss,Omnivore,1800,80,200,60,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Lentil soup, whole wheat bread","Greek yogurt, fruit"
32,Male,180,85,Moderately Active,Muscle Gain,Omnivore,2800,150,300,80,"Scrambled eggs, whole wheat toast","Chicken breast, brown rice, vegetables","Salmon, sweet potato, broccoli",Protein shake
55,Female,160,68,Sedentary,Weight Loss,Vegetarian,1500,70,150,40,"Tofu scramble, whole wheat toast","Black bean burger, a whole wheat bun","Lentil stew, brown rice","Fruit salad, yogurt"
28,Male,190,95,Very Active,Muscle Gain,Vegan,3200,180,400,100,"Tofu scramble, vegetables","Lentil, vegetable curry, brown rice","Chickpea pasta, marinara sauce","Trail mix, dried fruit, nuts"
62,Male,175,80,Lightly Active,Maintenance,Omnivore,2200,100,250,60,"Greek yogurt, fruit, granola","Tuna salad sandwich, whole wheat bread","Chicken stir-fry, brown rice","Mixed nuts, seeds"
21,Female,170,60,Moderately Active,Weight Loss,Vegan,1600,70,180,50,"Tofu, vegetable stir-fry","Black bean, sweet potato burrito","Lentil soup, whole wheat bread","Fruit, nut butter"
48,Female,168,75,Sedentary,Maintenance,Vegetarian,1800,80,200,60,"Tofu scramble, whole wheat toast","Vegetarian chili, brown rice","Lentil, vegetable curry, brown rice","Fruit, yogurt"
35,Male,185,100,Very Active,Muscle Gain,Omnivore,3000,160,350,90,"Oatmeal, protein powder","Chicken breast, quinoa, vegetables","Beef stir-fry, brown rice",Protein shake
40,Male,178,88,Moderately Active,Muscle Gain,Omnivore,2600,140,280,80,"Scrambled eggs, whole wheat toast","Chicken, vegetable skewers","Salmon, roasted vegetables",Protein bar
25,Male,180,85,Moderately Active,Weight Loss,Omnivore,2200,120,200,60,"Oatmeal, berries, nuts","Grilled chicken salad, quinoa","Salmon, roasted vegetables","Apple, peanut butter"
32,Female,165,68,Lightly Active,Muscle Gain,Vegetarian,2000,100,250,60,"Tofu scramble, vegetables","Lentil soup, whole-wheat bread","Chickpea curry, brown rice","Mixed nuts, dried fruit"
55,Male,175,95,Sedentary,Maintenance,Omnivore,2000,80,250,60,"Greek yogurt, fruit, granola","Chicken stir-fry, brown rice","Tuna salad sandwich, whole-wheat bread",Banana
28,Female,170,72,Very Active,Weight Loss,Vegan,1800,80,180,50,"Tofu, vegetable breakfast burrito","Lentil, vegetable stew","Tofu stir-fry, brown rice","Fruit salad, nuts"
62,Female,160,65,Lightly Active,Weight Loss,Vegan,1600,60,150,40,"Overnight oats, berries, chia seeds","Lentil, vegetable soup","Black bean burgers, sweet potato fries",Trail mix
40,Male,185,90,Moderately Active,Muscle Gain,Omnivore,2500,150,300,80,"Scrambled eggs, whole-wheat toast","Chicken breast, brown rice, vegetables","Steak, sweet potato, asparagus",Protein bar
38,Female,172,78,Sedentary,Maintenance,Omnivore,1800,80,200,60,"Smoothie, fruit, protein powder","Chicken, vegetable soup","Quinoa salad, grilled chicken","Greek yogurt, fruit"
22,Male,190,105,Very Active,Muscle Gain,Vegan,2800,130,350,90,"Tofu scramble, vegetables, whole-wheat toast","Lentil pasta, vegan cheese","Tofu, vegetable stir-fry, brown rice","Rice cakes, peanut butter"
19,Female,168,55,Moderately Active,Weight Loss,Vegetarian,1800,70,180,50,"Oatmeal, fruit, nuts","Quinoa salad, grilled tofu","Vegetable curry, brown rice","Hummus, vegetables"
45,Male,178,82,Lightly Active,Muscle Gain,Omnivore,2300,110,270,70,"Greek yogurt, fruit, granola","Chicken breast, brown rice, vegetables","Salmon, roasted vegetables",Protein shake
25,Female,165,58,Lightly Active,Weight Loss,Omnivore,1800,80,200,60,"Oatmeal, berries, nuts","Lentil soup, whole wheat bread","Grilled chicken salad, quinoa","Apple, peanut butter"
32,Male,180,85,Moderately Active,Muscle Gain,Omnivore,2800,150,300,80,"Scrambled eggs, whole wheat toast, avocado","Chicken breast, brown rice, steamed vegetables","Salmon, roasted vegetables",Protein shake
58,Female,160,70,Sedentary,Weight Loss,Vegetarian,1500,70,150,40,"Tofu scramble, whole wheat toast, fruit","Lentil stew, whole wheat bread","Vegetable curry, brown rice","Greek yogurt, fruit"
65,Male,175,90,Lightly Active,Maintenance,Vegan,2200,80,250,60,"Tofu scramble, whole wheat toast, fruit","Lentil soup, whole wheat bread","Chickpea, vegetable curry, brown rice",Trail mix
42,Female,170,65,Moderately Active,Weight Loss,Vegan,1900,70,220,50,"Oatmeal, fruit, nuts","Vegetable stir-fry, brown rice","Lentil pasta, marinara sauce","Banana, almond butter"
